Nb,Sector,Type,magnet,Loop,nc,L,QS,Kvmax,R,u0,QEH,T2,CV1,CV2,P1,P4,T3,T1,Qbs,MassFlow,TC84x,TC94x
1,12,LSS,Q1Q2Q3,QRLGC_03R1_X47,2,35,3,0.26,32,9,LQXAA_01R1_EH847,LQXAA_01R1_TT847A,QRLGC_03R1_CV947,0,QRLGC_03R1_PT961,QRLGC_03R1_PT991,QRLGC_03R1_TT947,QRLGC_03R1_TT961,QRLGC_03R1_QBS947,QRLGC_03R1_FT947,LQXAA_01R1_TC847,QRLGC_03R1_TC947
2,12,LSS,D2Q4,QRLFC_04R1_X47,4,39,4,0.19,0,56,LQYCH_04R1_EH847,LQYCH_04R1_TT847A,QRLFC_04R1_CV947,0,QRLFC_04R1_PT961,QRLFC_04R1_PT991,QRLFC_04R1_TT947,QRLFC_04R1_TT961,QRLFC_04R1_QBS947,QRLFC_04R1_FT947,LQYCH_04R1_TC847,QRLFC_04R1_TC947
3,12,LSS,Q5,QRLEC_05R1_X47,4,16.44,4,0.25,0,50,LQNDC_05R1_EH847,LQYCH_04R1_TT847A,QRLEC_05R1_CV947,0,QRLEC_05R1_PT961,QRLEC_05R1_PT991,QRLEC_05R1_TT947,QRLEC_05R1_TT961,QRLEC_05R1_QBS947,QRLEC_05R1_FT947,LQNDC_05R1_TC847,QRLEC_05R1_TC947
4,12,LSS,Q6,QRLEC_06R1_X47,4,16.44,12,0.24,0,46,LQNDD_06R1_EH847,LQNDD_06R1_TT847A,QRLEC_06R1_CV947,0,QRLEC_06R1_PT961,QRLEC_06R1_PT991,QRLEC_06R1_TT947,QRLEC_06R1_TT961,QRLEC_06R1_QBS947,QRLEC_06R1_FT947,LQNDD_06R1_TC847,QRLEC_06R1_TC947
5,12,LSS,Q7,QRLCA_07R1_X43,4,40,7,0.22,41,10,LBBRF_08R1_EH843,LBBRF_08R1_TT843,QRLCA_07R1_CV943,QRLCA_07R1_CV947,QRLDA_07R1_PT961,QRLDA_07R1_PT991,QRLCA_07R1_TT943,QRLDA_07R1_TT961,QRLCA_07R1_QBS943,QRLCA_07R1_FT943,LBBRF_08R1_TC843,QRLCA_07R1_TC943
6,12,ARC,Q8,QRLBA_09R1_X47,4,45,7,0.39,53,11,LQNCE_08R1_EH847,LQNCE_08R1_TT847,QRLBA_09R1_CV947,0,QRLBA_09R1_PT961,QRLBA_09R1_PT991,QRLBA_09R1_TT947,QRLBA_09R1_TT961,QRLBA_09R1_QBS947,QRLBA_09R1_FT947,LQNCE_08R1_TC847,QRLBA_09R1_TC947
7,12,ARC,Q9,QRLBA_09R1_X43,4,45,7,0.39,45,9,LBBRF_10R1_EH843,LBBRF_10R1_TT843,QRLBA_09R1_CV943,0,QRLBA_09R1_PT961,QRLBA_09R1_PT991,QRLBA_09R1_TT943,QRLBA_09R1_TT961,QRLBA_09R1_QBS943,QRLBA_09R1_FT943,LBBRF_10R1_TC843,QRLBA_09R1_TC943
8,12,ARC,Q10,QRLAB_11R1_X47,4,45,7,0.39,51,10,LQNCE_10R1_EH847,LQNCE_10R1_TT847,QRLAB_11R1_CV947,0,QRLBA_09R1_PT961,QRLBA_09R1_PT991,QRLAB_11R1_TT947,QRLBA_09R1_TT961,QRLAB_11R1_QBS947,QRLAB_11R1_FT947,LQNCE_10R1_TC847,QRLAB_11R1_TC947
9,12,ARC,Q11,QRLAB_11R1_X43,4,53,7,0.39,40,10,LBARB_12R1_EH843,LBARB_12R1_TT843,QRLAB_11R1_CV943,0,QRLAA_13R1_PT961,QRLAA_13R1_PT991,QRLAB_11R1_TT943,QRLAA_13R1_TT961,QRLAB_11R1_QBS943,QRLAB_11R1_FT943,LBARB_12R1_TC843,QRLAB_11R1_TC943
10,12,ARC,Q12,QRLAA_13R1_X47,4,53,7,0.39,34,8,LQATH_12R1_EH847,LQATH_12R1_TT847,QRLAA_13R1_CV947,0,QRLAA_13R1_PT961,QRLAA_13R1_PT991,QRLAA_13R1_TT947,QRLAA_13R1_TT961,QRLAA_13R1_QBS947,QRLAA_13R1_FT947,LQATH_12R1_TC847,QRLAA_13R1_TC947
11,12,ARC,Q13,QRLAA_13R1_X43,4,53,7,0.39,28,8,LBARB_14R1_EH843,LBARB_14R1_TT843,QRLAA_13R1_CV943,0,QRLAA_13R1_PT961,QRLAA_13R1_PT991,QRLAA_13R1_TT943,QRLAA_13R1_TT961,QRLAA_13R1_QBS943,QRLAA_13R1_FT943,LBARB_14R1_TC843,QRLAA_13R1_TC943
12,12,ARC,Q14,QRLAB_15R1_X47,4,53,7,0.39,37,8,LQATH_14R1_EH847,LQATH_14R1_TT847,QRLAB_15R1_CV947,0,QRLAA_13R1_PT961,QRLAA_13R1_PT991,QRLAB_15R1_TT947,QRLAA_13R1_TT961,QRLAB_15R1_QBS947,QRLAB_15R1_FT947,LQATH_14R1_TC847,QRLAB_15R1_TC947
13,12,ARC,Q15,QRLAB_15R1_X43,4,53,7,0.39,38,8,LBARB_16R1_EH843,LBARB_16R1_TT843,QRLAB_15R1_CV943,0,QRLAA_17R1_PT961,QRLAA_17R1_PT991,QRLAB_15R1_TT943,QRLAA_17R1_TT961,QRLAB_15R1_QBS943,QRLAB_15R1_FT943,LBARB_16R1_TC843,QRLAB_15R1_TC943
14,12,ARC,Q16,QRLAA_17R1_X47,4,53,7,0.39,40,8,LQATH_16R1_EH847,LQATH_16R1_TT847,QRLAA_17R1_CV947,0,QRLAA_17R1_PT961,QRLAA_17R1_PT991,QRLAA_17R1_TT947,QRLAA_17R1_TT961,QRLAA_17R1_QBS947,QRLAA_17R1_FT947,LQATH_16R1_TC847,QRLAA_17R1_TC947
15,12,ARC,Q17,QRLAA_17R1_X43,4,53,7,0.39,34,8,LBARB_18R1_EH843,LBARB_18R1_TT843,QRLAA_17R1_CV943,0,QRLAA_17R1_PT961,QRLAA_17R1_PT991,QRLAA_17R1_TT943,QRLAA_17R1_TT961,QRLAA_17R1_QBS943,QRLAA_17R1_FT943,LBARB_18R1_TC843,QRLAA_17R1_TC943
16,12,ARC,Q18,QRLAB_19R1_X47,4,53,7,0.39,41,8,LQATH_18R1_EH847,LQATH_18R1_TT847,QRLAB_19R1_CV947,0,QRLAA_17R1_PT961,QRLAA_17R1_PT991,QRLAB_19R1_TT947,QRLAA_17R1_TT961,QRLAB_19R1_QBS947,QRLAB_19R1_FT947,LQATH_18R1_TC847,QRLAB_19R1_TC947
17,12,ARC,Q19,QRLAB_19R1_X43,4,53,7,0.39,46,8,LBARB_20R1_EH843,LBARB_20R1_TT843,QRLAB_19R1_CV943,0,QRLAA_21R1_PT961,QRLAA_21R1_PT991,QRLAB_19R1_TT943,QRLAA_21R1_TT961,QRLAB_19R1_QBS943,QRLAB_19R1_FT943,LBARB_20R1_TC843,QRLAB_19R1_TC943
18,12,ARC,Q20,QRLAA_21R1_X47,4,53,7,0.39,25,8,LQATH_20R1_EH847,LQATH_20R1_TT847,QRLAA_21R1_CV947,0,QRLAA_21R1_PT961,QRLAA_21R1_PT991,QRLAA_21R1_TT947,QRLAA_21R1_TT961,QRLAA_21R1_QBS947,QRLAA_21R1_FT947,LQATH_20R1_TC847,QRLAA_21R1_TC947
19,12,ARC,Q21,QRLAA_21R1_X43,4,53,7,0.39,30,8,LBARB_22R1_EH843,LBARB_22R1_TT843,QRLAA_21R1_CV943,0,QRLAA_21R1_PT961,QRLAA_21R1_PT991,QRLAA_21R1_TT943,QRLAA_21R1_TT961,QRLAA_21R1_QBS943,QRLAA_21R1_FT943,LBARB_22R1_TC843,QRLAA_21R1_TC943
20,12,ARC,Q22,QRLAB_23R1_X47,4,53,7,0.39,30,9,LQOAG_22R1_EH847,LQOAG_22R1_TT847,QRLAB_23R1_CV947,0,QRLAA_21R1_PT961,QRLAA_21R1_PT991,QRLAB_23R1_TT947,QRLAA_21R1_TT961,QRLAB_23R1_QBS947,QRLAB_23R1_FT947,LQOAG_22R1_TC847,QRLAB_23R1_TC947
21,12,ARC,Q23,QRLAB_23R1_X43,4,53,7,0.39,35,8,LBARB_24R1_EH843,LBARB_24R1_TT843,QRLAB_23R1_CV943,0,QRLAA_25R1_PT961,QRLAA_25R1_PT991,QRLAB_23R1_TT943,QRLAA_25R1_TT961,QRLAB_23R1_QBS943,QRLAB_23R1_FT943,LBARB_24R1_TC843,QRLAB_23R1_TC943
22,12,ARC,Q24,QRLAA_25R1_X47,4,53,7,0.39,40,8,LQOAG_24R1_EH847,LQOAG_24R1_TT847,QRLAA_25R1_CV947,0,QRLAA_25R1_PT961,QRLAA_25R1_PT991,QRLAA_25R1_TT947,QRLAA_25R1_TT961,QRLAA_25R1_QBS947,QRLAA_25R1_FT947,LQOAG_24R1_TC847,QRLAA_25R1_TC947
23,12,ARC,Q25,QRLAA_25R1_X43,4,53,7,0.39,41,8,LBARB_26R1_EH843,LBARB_26R1_TT843,QRLAA_25R1_CV943,0,QRLAA_25R1_PT961,QRLAA_25R1_PT991,QRLAA_25R1_TT943,QRLAA_25R1_TT961,QRLAA_25R1_QBS943,QRLAA_25R1_FT943,LBARB_26R1_TC843,QRLAA_25R1_TC943
24,12,ARC,Q26,QRLAB_27R1_X47,4,53,7,0.39,55,9,LQOAG_26R1_EH847,LQOAG_26R1_TT847,QRLAB_27R1_CV947,0,QRLAA_25R1_PT961,QRLAA_25R1_PT991,QRLAB_27R1_TT947,QRLAA_25R1_TT961,QRLAB_27R1_QBS947,QRLAB_27R1_FT947,LQOAG_26R1_TC847,QRLAB_27R1_TC947
25,12,ARC,Q27,QRLAB_27R1_X43,4,53,7,0.39,32,9,LBARB_28R1_EH843,LBARB_28R1_TT843,QRLAB_27R1_CV943,0,QRLAA_29R1_PT961,QRLAA_29R1_PT991,QRLAB_27R1_TT943,QRLAA_29R1_TT961,QRLAB_27R1_QBS943,QRLAB_27R1_FT943,LBARB_28R1_TC843,QRLAB_27R1_TC943
26,12,ARC,Q28,QRLAA_29R1_X47,4,53,7,0.39,38,9,LQOAG_28R1_EH847,LQOAG_28R1_TT847,QRLAA_29R1_CV947,0,QRLAA_29R1_PT961,QRLAA_29R1_PT991,QRLAA_29R1_TT947,QRLAA_29R1_TT961,QRLAA_29R1_QBS947,QRLAA_29R1_FT947,LQOAG_28R1_TC847,QRLAA_29R1_TC947
27,12,ARC,Q29,QRLAA_29R1_X43,4,53,7,0.39,37,8,LBARB_30R1_EH843,LBARB_30R1_TT843,QRLAA_29R1_CV943,0,QRLAA_29R1_PT961,QRLAA_29R1_PT991,QRLAA_29R1_TT943,QRLAA_29R1_TT961,QRLAA_29R1_QBS943,QRLAA_29R1_FT943,LBARB_30R1_TC843,QRLAA_29R1_TC943
28,12,ARC,Q30,QRLAC_31R1_X47,4,53,7,0.39,36,8,LQOAM_30R1_EH847,LQOAM_30R1_TT847,QRLAC_31R1_CV947,0,QRLAA_29R1_PT961,QRLAA_29R1_PT991,QRLAC_31R1_TT947,QRLAA_29R1_TT961,QRLAC_31R1_QBS947,QRLAC_31R1_FT947,LQOAM_30R1_TC847,QRLAC_31R1_TC947
29,12,ARC,Q31,QRLAC_31R1_X43,4,53,7,0.39,32,8,LBARB_32R1_EH843,LBARB_32R1_TT843,QRLAC_31R1_CV943,0,QRLAA_33L2_PT961,QRLAA_33L2_PT991,QRLAC_31R1_TT943,QRLAA_33L2_TT961,QRLAC_31R1_QBS943,QRLAC_31R1_FT943,LBARB_32R1_TC843,QRLAC_31R1_TC943
30,12,ARC,Q32,QRLAD_33R1_X47,4,53,7,0.39,48,8,LQOAG_32R1_EH847,LQOAG_32R1_TT847,QRLAD_33R1_CV947,0,QRLAA_33L2_PT961,QRLAA_33L2_PT991,QRLAD_33R1_TT947,QRLAA_33L2_TT961,QRLAD_33R1_QBS947,QRLAD_33R1_FT947,LQOAG_32R1_TC847,QRLAD_33R1_TC947
31,12,ARC,Q33,QRLAD_33R1_X43,4,53,7,0.39,30,8,LBARB_34R1_EH843,LBARB_34R1_TT843,QRLAD_33R1_CV943,0,QRLAA_33L2_PT961,QRLAA_33L2_PT991,QRLAD_33R1_TT943,QRLAA_33L2_TT961,QRLAD_33R1_QBS943,QRLAD_33R1_FT943,LBARB_34R1_TC843,QRLAD_33R1_TC943
32,12,ARC,Q34,QRLAA_33L2_X47,4,53,7,0.39,32,8,LQOAM_34R1_EH847,LQOAM_34R1_TT847,QRLAA_33L2_CV947,0,QRLAA_33L2_PT961,QRLAA_33L2_PT991,QRLAA_33L2_TT947,QRLAA_33L2_TT961,QRLAA_33L2_QBS947,QRLAA_33L2_FT947,LQOAM_34R1_TC847,QRLAA_33L2_TC947
33,12,ARC,Q33,QRLAA_33L2_X43,4,53,7,0.39,29,8,LBARB_33L2_EH843,LBARB_33L2_TT843,QRLAA_33L2_CV943,0,QRLAA_33L2_PT961,QRLAA_33L2_PT991,QRLAA_33L2_TT943,QRLAA_33L2_TT961,QRLAA_33L2_QBS943,QRLAA_33L2_FT943,LBARB_33L2_TC843,QRLAA_33L2_TC943
34,12,ARC,Q32,QRLAB_31L2_X47,4,53,7,0.39,41,9,LQOAM_32L2_EH847,LQOAM_32L2_TT847,QRLAB_31L2_CV947,0,QRLAA_33L2_PT961,QRLAA_33L2_PT991,QRLAB_31L2_TT947,QRLAA_33L2_TT961,QRLAB_31L2_QBS947,QRLAB_31L2_FT947,LQOAM_32L2_TC847,QRLAB_31L2_TC947
35,12,ARC,Q31,QRLAB_31L2_X43,4,53,7,0.39,52,8,LBARB_31L2_EH843,LBARB_31L2_TT843,QRLAB_31L2_CV943,0,QRLAA_29L2_PT961,QRLAA_29L2_PT991,QRLAB_31L2_TT943,QRLAA_29L2_TT961,QRLAB_31L2_QBS943,QRLAB_31L2_FT943,LBARB_31L2_TC843,QRLAB_31L2_TC943
36,12,ARC,Q30,QRLAA_29L2_X47,4,53,7,0.39,40,9,LQOAG_30L2_EH847,LQOAG_30L2_TT847,QRLAA_29L2_CV947,0,QRLAA_29L2_PT961,QRLAA_29L2_PT991,QRLAA_29L2_TT947,QRLAA_29L2_TT961,QRLAA_29L2_QBS947,QRLAA_29L2_FT947,LQOAG_30L2_TC847,QRLAA_29L2_TC947
37,12,ARC,Q29,QRLAA_29L2_X43,4,53,7,0.39,31,8,LBARB_29L2_EH843,LBARB_29L2_TT843,QRLAA_29L2_CV943,0,QRLAA_29L2_PT961,QRLAA_29L2_PT991,QRLAA_29L2_TT943,QRLAA_29L2_TT961,QRLAA_29L2_QBS943,QRLAA_29L2_FT943,LBARB_29L2_TC843,QRLAA_29L2_TC943
38,12,ARC,Q28,QRLAB_27L2_X47,4,53,7,0.39,39,9,LQOAM_28L2_EH847,LQOAM_28L2_TT847,QRLAB_27L2_CV947,0,QRLAA_29L2_PT961,QRLAA_29L2_PT991,QRLAB_27L2_TT947,QRLAA_29L2_TT961,QRLAB_27L2_QBS947,QRLAB_27L2_FT947,LQOAM_28L2_TC847,QRLAB_27L2_TC947
39,12,ARC,Q27,QRLAB_27L2_X43,4,53,7,0.39,35,8,LBARB_27L2_EH843,LBARB_27L2_TT843,QRLAB_27L2_CV943,0,QRLAA_25L2_PT961,QRLAA_25L2_PT991,QRLAB_27L2_TT943,QRLAA_25L2_TT961,QRLAB_27L2_QBS943,QRLAB_27L2_FT943,LBARB_27L2_TC843,QRLAB_27L2_TC943
40,12,ARC,Q26,QRLAA_25L2_X47,4,53,7,0.39,43,8,LQOAG_26L2_EH847,LQOAG_26L2_TT847,QRLAA_25L2_CV947,0,QRLAA_25L2_PT961,QRLAA_25L2_PT991,QRLAA_25L2_TT947,QRLAA_25L2_TT961,QRLAA_25L2_QBS947,QRLAA_25L2_FT947,LQOAG_26L2_TC847,QRLAA_25L2_TC947
41,12,ARC,Q25,QRLAA_25L2_X43,4,53,7,0.39,42,8,LBARB_25L2_EH843,LBARB_25L2_TT843,QRLAA_25L2_CV943,0,QRLAA_25L2_PT961,QRLAA_25L2_PT991,QRLAA_25L2_TT943,QRLAA_25L2_TT961,QRLAA_25L2_QBS943,QRLAA_25L2_FT943,LBARB_25L2_TC843,QRLAA_25L2_TC943
42,12,ARC,Q24,QRLAB_23L2_X47,4,53,7,0.39,50,9,LQOAG_24L2_EH847,LQOAG_24L2_TT847,QRLAB_23L2_CV947,0,QRLAA_25L2_PT961,QRLAA_25L2_PT991,QRLAB_23L2_TT947,QRLAA_25L2_TT961,QRLAB_23L2_QBS947,QRLAB_23L2_FT947,LQOAG_24L2_TC847,QRLAB_23L2_TC947
43,12,ARC,Q23,QRLAB_23L2_X43,4,53,7,0.39,49,8,LBARB_23L2_EH843,LBARB_23L2_TT843,QRLAB_23L2_CV943,0,QRLAA_21L2_PT961,QRLAA_21L2_PT991,QRLAB_23L2_TT943,QRLAA_21L2_TT961,QRLAB_23L2_QBS943,QRLAB_23L2_FT943,LBARB_23L2_TC843,QRLAB_23L2_TC943
44,12,ARC,Q22,QRLAA_21L2_X47,4,53,7,0.39,28,9,LQOAG_22L2_EH847,LQOAG_22L2_TT847,QRLAA_21L2_CV947,0,QRLAA_21L2_PT961,QRLAA_21L2_PT991,QRLAA_21L2_TT947,QRLAA_21L2_TT961,QRLAA_21L2_QBS947,QRLAA_21L2_FT947,LQOAG_22L2_TC847,QRLAA_21L2_TC947
45,12,ARC,Q21,QRLAA_21L2_X43,4,53,7,0.39,31,8,LBARB_21L2_EH843,LBARB_21L2_TT843,QRLAA_21L2_CV943,0,QRLAA_21L2_PT961,QRLAA_21L2_PT991,QRLAA_21L2_TT943,QRLAA_21L2_TT961,QRLAA_21L2_QBS943,QRLAA_21L2_FT943,LBARB_21L2_TC843,QRLAA_21L2_TC943
46,12,ARC,Q20,QRLAB_19L2_X47,4,53,7,0.39,44,9,LQATH_20L2_EH847,LQATH_20L2_TT847,QRLAB_19L2_CV947,0,QRLAA_21L2_PT961,QRLAA_21L2_PT991,QRLAB_19L2_TT947,QRLAA_21L2_TT961,QRLAB_19L2_QBS947,QRLAB_19L2_FT947,LQATH_20L2_TC847,QRLAB_19L2_TC947
47,12,ARC,Q19,QRLAB_19L2_X43,4,53,7,0.39,41,8,LBARB_19L2_EH843,LBARB_19L2_TT843,QRLAB_19L2_CV943,0,QRLAA_17L2_PT961,QRLAA_17L2_PT991,QRLAB_19L2_TT943,QRLAA_17L2_TT961,QRLAB_19L2_QBS943,QRLAB_19L2_FT943,LBARB_19L2_TC843,QRLAB_19L2_TC943
48,12,ARC,Q18,QRLAA_17L2_X47,4,53,7,0.39,32,8,LQATH_18L2_EH847,LQATH_18L2_TT847,QRLAA_17L2_CV947,0,QRLAA_17L2_PT961,QRLAA_17L2_PT991,QRLAA_17L2_TT947,QRLAA_17L2_TT961,QRLAA_17L2_QBS947,QRLAA_17L2_FT947,LQATH_18L2_TC847,QRLAA_17L2_TC947
49,12,ARC,Q17,QRLAA_17L2_X43,4,53,7,0.39,36,9,LBARB_17L2_EH843,LBARB_17L2_TT843,QRLAA_17L2_CV943,0,QRLAA_17L2_PT961,QRLAA_17L2_PT991,QRLAA_17L2_TT943,QRLAA_17L2_TT961,QRLAA_17L2_QBS943,QRLAA_17L2_FT943,LBARB_17L2_TC843,QRLAA_17L2_TC943
50,12,ARC,Q16,QRLAB_15L2_X47,4,53,7,0.39,37,9,LQATH_16L2_EH847,LQATH_16L2_TT847,QRLAB_15L2_CV947,0,QRLAA_17L2_PT961,QRLAA_17L2_PT991,QRLAB_15L2_TT947,QRLAA_17L2_TT961,QRLAB_15L2_QBS947,QRLAB_15L2_FT947,LQATH_16L2_TC847,QRLAB_15L2_TC947
51,12,ARC,Q15,QRLAB_15L2_X43,4,53,7,0.39,39,8,LBARB_15L2_EH843,LBARB_15L2_TT843,QRLAB_15L2_CV943,0,QRLAA_13L2_PT961,QRLAA_13L2_PT991,QRLAB_15L2_TT943,QRLAA_13L2_TT961,QRLAB_15L2_QBS943,QRLAB_15L2_FT943,LBARB_15L2_TC843,QRLAB_15L2_TC943
52,12,ARC,Q14,QRLAA_13L2_X47,4,53,7,0.39,31,8,LQATH_14L2_EH847,LQATH_14L2_TT847,QRLAA_13L2_CV947,0,QRLAA_13L2_PT961,QRLAA_13L2_PT991,QRLAA_13L2_TT947,QRLAA_13L2_TT961,QRLAA_13L2_QBS947,QRLAA_13L2_FT947,LQATH_14L2_TC847,QRLAA_13L2_TC947
53,12,ARC,Q13,QRLAA_13L2_X43,4,53,7,0.39,27,8,LBARB_13L2_EH843,LBARB_13L2_TT843,QRLAA_13L2_CV943,0,QRLAA_13L2_PT961,QRLAA_13L2_PT991,QRLAA_13L2_TT943,QRLAA_13L2_TT961,QRLAA_13L2_QBS943,QRLAA_13L2_FT943,LBARB_13L2_TC843,QRLAA_13L2_TC943
54,12,ARC,Q12,QRLAB_11L2_X47,4,53,7,0.39,35,8,LQATH_12L2_EH847,LQATH_12L2_TT847,QRLAB_11L2_CV947,0,QRLAA_13L2_PT961,QRLAA_13L2_PT991,QRLAB_11L2_TT947,QRLAA_13L2_TT961,QRLAB_11L2_QBS947,QRLAB_11L2_FT947,LQATH_12L2_TC847,QRLAB_11L2_TC947
55,12,ARC,Q11,QRLAB_11L2_X43,4,45,7,0.39,46,8,LBBRP_11L2_EH843,LBBRP_11L2_TT843,QRLAB_11L2_CV943,0,QRLBA_09L2_PT961,QRLBA_09L2_PT991,QRLAB_11L2_TT943,QRLBA_09L2_TT961,QRLAB_11L2_QBS943,QRLAB_11L2_FT943,LBBRP_11L2_TC843,QRLAB_11L2_TC943
56,12,ARC,Q10,QRLBA_09L2_X47,4,45,7,0.39,49,8,LQNCE_10L2_EH847,LQNCE_10L2_TT847,QRLBA_09L2_CV947,0,QRLBA_09L2_PT961,QRLBA_09L2_PT991,QRLBA_09L2_TT947,QRLBA_09L2_TT961,QRLBA_09L2_QBS947,QRLBA_09L2_FT947,LQNCE_10L2_TC847,QRLBA_09L2_TC947
57,12,ARC,Q9,QRLBA_09L2_X43,4,45,7,0.39,51,9,LBBRF_09L2_EH843,LBBRF_09L2_TT843,QRLBA_09L2_CV943,0,QRLBA_09L2_PT961,QRLBA_09L2_PT991,QRLBA_09L2_TT943,QRLBA_09L2_TT961,QRLBA_09L2_QBS943,QRLBA_09L2_FT943,LBBRF_09L2_TC843,QRLBA_09L2_TC943
58,12,LSS,Q8,QRLCF_07L2_X43,4,40,7,0.22,32,9,LQNCE_08L2_EH847,LQNCE_08L2_TT847,QRLCF_07L2_CV943,QRLCF_07L2_CV947,QRLBA_09L2_PT961,QRLBA_09L2_PT991,QRLCF_07L2_TT943,QRLBA_09L2_TT961,QRLCF_07L2_QBS947,QRLCF_07L2_FT947,LQNCE_08L2_TC847,QRLCF_07L2_TC943
59,12,LSS,Q7,QRLCF_07L2_X45,4,13.5,7,0.22,52,9,LQNFK_07L2_EH845,LQNFK_07L2_TT845,QRLCF_07L2_CV945,0,QRLBA_09L2_PT961,QRLBA_09L2_PT991,QRLCF_07L2_TT945,QRLBA_09L2_TT961,QRLCF_07L2_QBS945,QRLCF_07L2_FT945,LQNFK_07L2_TC845,QRLCF_07L2_TC945
60,12,LSS,Q6,QRLEA_06L2_X47,4,24,4,0.28,0,53,LQNLH_06L2_EH847,LQNLH_06L2_TT847A,QRLEA_06L2_CV947,0,QRLEA_06L2_PT961,QRLEA_06L2_PT991,QRLEA_06L2_TT947,QRLEA_06L2_TT961,QRLEA_06L2_QBS947,QRLEA_06L2_FT947,LQNLH_06L2_TC847,QRLEA_06L2_TC947
61,12,LSS,Q5,QRLEA_05L2_X47,4,26,8,0.22,0,46,LQYFA_05L2_EH847,LQYFA_05L2_TT847A,QRLEA_05L2_CV947,0,QRLEA_05L2_PT961,QRLEA_05L2_PT991,QRLEA_05L2_TT947,QRLEA_05L2_TT961,QRLEA_05L2_QBS947,QRLEA_05L2_FT947,LQYFA_05L2_TC847,QRLEA_05L2_TC947
62,12,LSS,D2Q4,QRLFE_04L2_X47,4,45,1,0.16,0,59,LQYEB_04L2_EH847,LQYEB_04L2_TT847A,QRLFE_04L2_CV947,0,QRLFE_04L2_PT961,QRLFE_04L2_PT991,QRLFE_04L2_TT947,QRLFE_04L2_TT961,QRLFE_04L2_QBS947,QRLFE_04L2_FT947,LQYEB_04L2_TC847,QRLFE_04L2_TC947
63,12,LSS,Q1Q2Q3,QRLGF_03L2_X47,2,45,4,0.26,28,8,LQXAB_01L2_EH847,LQXAB_01L2_TT847A,QRLGF_03L2_CV947,0,QRLGF_03L2_PT961,QRLGF_03L2_PT991,QRLGF_03L2_TT947,QRLGF_03L2_TT961,QRLGF_03L2_QBS947,QRLGF_03L2_FT947,LQXAB_01L2_TC847,QRLGF_03L2_TC947
64,23,LSS,Q1Q2Q3,QRLGE_03R2_X47,2,45,4,0.26,49,7,LQXAA_01R2_EH847,LQXAA_01R2_TT847A,QRLGE_03R2_CV947,0,QRLGE_03R2_PT961,QRLGE_03R2_PT991,QRLGE_03R2_TT947,QRLGE_03R2_TT961,QRLGE_03R2_QBS947,QRLGE_03R2_FT947,LQXAA_01R2_TC847,QRLGE_03R2_TC947
65,23,LSS,D2Q4,QRLFF_04R2_X47,4,45,4,0.16,0,49,LQYED_04R2_EH847,LQYED_04R2_TT847A,QRLFF_04R2_CV947,0,QRLFF_04R2_PT961,QRLFF_04R2_PT991,QRLFF_04R2_TT947,QRLFF_04R2_TT961,QRLFF_04R2_QBS947,QRLFF_04R2_FT947,LQYED_04R2_TC847,QRLFF_04R2_TC947
66,23,LSS,Q5,QRLEA_05R2_X47,4,26,6,0.35,0,33,LQNMA_05R2_EH847,LQNMA_05R2_TT847A,QRLEA_05R2_CV947,0,QRLEA_05R2_PT961,QRLEA_05R2_PT991,QRLEA_05R2_TT947,QRLEA_05R2_TT961,QRLEA_05R2_QBS947,QRLEA_05R2_FT947,LQNMA_05R2_TC847,QRLEA_05R2_TC947
67,23,LSS,Q6,QRLEA_06R2_X47,4,24,11,0.45,0,31,LQNLD_06R2_EH847,LQNLD_06R2_TT847A,QRLEA_06R2_CV947,0,QRLEA_06R2_PT961,QRLEA_06R2_PT991,QRLEA_06R2_TT947,QRLEA_06R2_TT961,QRLEA_06R2_QBS947,QRLEA_06R2_FT947,LQNLD_06R2_TC847,QRLEA_06R2_TC947
68,23,LSS,Q7,QRLCA_07R2_X43,4,40,7,0.22,45,3,LBBLF_08R2_EH843,LBBLF_08R2_TT843,QRLCA_07R2_CV943,QRLCA_07R2_CV947,QRLBA_09R2_PT961,QRLBA_09R2_PT991,QRLCA_07R2_TT943,QRLBA_09R2_TT961,QRLCA_07R2_QBS943,QRLCA_07R2_FT943,LBBLF_08R2_TC843,QRLCA_07R2_TC943
69,23,ARC,Q8,QRLBA_09R2_X47,4,45,7,0.39,37,8,LQNCB_08R2_EH847,LQNCB_08R2_TT847,QRLBA_09R2_CV947,0,QRLBA_09R2_PT961,QRLBA_09R2_PT991,QRLBA_09R2_TT947,QRLBA_09R2_TT961,QRLBA_09R2_QBS947,QRLBA_09R2_FT947,LQNCB_08R2_TC847,QRLBA_09R2_TC947
70,23,ARC,Q9,QRLBA_09R2_X43,4,45,7,0.39,32,7,LBBLF_10R2_EH843,LBBLF_10R2_TT843,QRLBA_09R2_CV943,0,QRLBA_09R2_PT961,QRLBA_09R2_PT991,QRLBA_09R2_TT943,QRLBA_09R2_TT961,QRLBA_09R2_QBS943,QRLBA_09R2_FT943,LBBLF_10R2_TC843,QRLBA_09R2_TC943
71,23,ARC,Q10,QRLAB_11R2_X47,4,45,7,0.39,76,10,LQNCB_10R2_EH847,LQNCB_10R2_TT847,QRLAB_11R2_CV947,0,QRLBA_09R2_PT961,QRLBA_09R2_PT991,QRLAB_11R2_TT947,QRLBA_09R2_TT961,QRLAB_11R2_QBS947,QRLAB_11R2_FT947,LQNCB_10R2_TC847,QRLAB_11R2_TC947
